IO_Size,Q_Depth,Workload_Mix,Workload_Type,Core_Mask,Run_Time,Run,IOPS,MBps,Avg_lat(us),Min_lat(us),Max_lat(us)
65536,8,70,randrw,0x3,60,3,34537.62,2158.6,825.66,49.56,10538.63
65536,8,0,randrw,0x1,60,1,16861.9,1053.87,1850.43,50.25,17170.5
65536,8,0,randrw,0x1,60,2,18594.8,1162.18,1834.26,50.32,17516.98
65536,8,0,randrw,0x1,60,3,17818.97,1113.69,1937.1,50.4,19855.23
65536,8,0,randrw,0x3,60,1,33073.8,2067.11,1419.04,49.86,15856.86
65536,8,0,randrw,0x3,60,2,47502.37,2968.9,1389.91,49.8,13873.0
65536,8,0,randrw,0x3,60,3,45721.23,2857.58,1465.06,49.74,13967.87
65536,32,100,randrw,0x1,60,1,90030.5,5626.91,1121.24,172.98,12765.85
65536,32,100,randrw,0x1,60,2,91940.3,5746.27,1105.99,146.93,6059.31
65536,32,100,randrw,0x1,60,3,91368.94,5710.56,1118.17,143.14,6994.51
65536,32,100,randrw,0x3,60,1,96239.44,6014.96,1067.3,177.58,6240.71
65536,32,100,randrw,0x3,60,2,95825.69,5989.11,1077.72,140.37,8576.45
65536,32,100,randrw,0x3,60,3,95987.89,5999.24,1072.22,166.41,6860.83
65536,32,70,randrw,0x1,60,1,50265.03,3141.56,2606.19,49.71,28821.93
65536,32,70,randrw,0x1,60,2,40135.48,2508.47,3153.05,49.57,31551.16
65536,32,70,randrw,0x1,60,3,35176.98,2198.56,3300.4,49.4,30315.31
65536,32,70,randrw,0x3,60,1,39814.4,2488.4,2970.65,50.26,36565.1
65536,32,70,randrw,0x3,60,2,44139.18,2758.7,2786.38,49.12,749955.5
65536,32,70,randrw,0x3,60,3,45696.47,2856.03,2780.29,49.89,29268.98
65536,32,0,randrw,0x1,60,1,18406.8,1150.43,6799.45,50.15,46432.31
65536,32,0,randrw,0x1,60,2,19136.7,1196.04,6602.91,49.81,40492.99
65536,32,0,randrw,0x1,60,3,20074.68,1254.67,6331.97,50.0,34218.23
65536,32,0,randrw,0x3,60,1,36262.45,2266.4,5162.76,49.39,38012.3
65536,32,0,randrw,0x3,60,2,46851.28,2928.21,4917.06,49.91,40205.18
65536,32,0,randrw,0x3,60,3,49061.34,3066.33,4673.58,49.74,30080.77
65536,128,100,randrw,0x1,60,1,91605.84,5725.37,4448.73,182.09,38047.69
65536,128,100,randrw,0x1,60,2,93801.13,5862.57,4379.29,170.12,14869.62
65536,128,100,randrw,0x1,60,3,93839.17,5864.95,4393.83,171.38,16298.22
65536,128,100,randrw,0x3,60,1,98539.06,6158.69,4219.84,179.5,15004.12
65536,128,100,randrw,0x3,60,2,97287.73,6080.48,4239.68,184.49,26066.18
65536,128,100,randrw,0x3,60,3,98361.03,6147.56,4214.31,178.41,14980.12
65536,128,70,randrw,0x1,60,1,58098.23,3631.14,9247.68,49.46,86929.05
65536,128,70,randrw,0x1,60,2,42774.73,2673.42,11126.69,49.65,102952.97
65536,128,70,randrw,0x1,60,3,44694.1,2793.38,10525.8,49.63,65166.86
65536,128,70,randrw,0x3,60,1,49173.22,3073.33,9776.78,49.53,83072.38
65536,128,70,randrw,0x3,60,2,51622.45,3226.4,9637.2,49.64,62882.24
65536,128,70,randrw,0x3,60,3,52799.09,3299.94,9466.99,50.06,76542.41
65536,128,0,randrw,0x1,60,1,22364.77,1397.8,23008.34,50.69,133942.08
65536,128,0,randrw,0x1,60,2,21410.73,1338.17,21470.79,50.26,129199.48
65536,128,0,randrw,0x1,60,3,22343.38,1396.46,20362.19,50.61,113071.77
65536,128,0,randrw,0x3,60,1,40639.92,2539.99,17384.0,50.03,107340.25
65536,128,0,randrw,0x3,60,2,47227.91,2951.74,16661.01,50.37,1034257.81
65536,128,0,randrw,0x3,60,3,48819.4,3051.21,15423.28,50.28,90040.15
